image,foreground_fraction,maximum_capacity_bits,gross_payload_bits,auxiliary_bits,net_payload_bits,drd,psnr_db,reversible,message_exact
47.pgm,0.6421432495117188,1088,816,568,248,0.570659871198935,28.164799306236993,True,True
114.pgm,0.34214019775390625,914,685,448,237,0.4996335317936117,28.88340223748579,True,True
143.pgm,0.018733978271484375,947,710,408,302,0.4470728627186084,28.634454733733424,True,True
200.pgm,0.016895294189453125,0,0,96,-96,0.0,inf,True,True
377.pgm,0.3071632385253906,1256,942,408,534,0.520789549452788,27.382044085370985,True,True
602.pgm,0.18507766723632812,498,373,360,13,0.16378412371670506,31.632674168483558,True,True
642.pgm,0.3686370849609375,260,195,232,-37,0.35462663399201255,34.36268688912093,True,True
662.pgm,0.7387542724609375,801,600,408,192,0.2752928692242529,29.713818906094424,True,True
764.pgm,0.01312255859375,265,198,240,-42,0.2526253448401664,34.9426063588978,True,True
898.pgm,0.380279541015625,815,611,448,163,0.37153013599593643,29.35666338342908,True,True
955.pgm,0.0041351318359375,0,0,96,-96,0.0,inf,True,True
1086.pgm,0.7181129455566406,986,739,448,291,0.49445817483252413,28.46831090142974,True,True
1313.pgm,0.38478851318359375,927,695,512,183,0.5433048540833569,28.79463823158885,True,True
1440.pgm,0.15144729614257812,1067,800,448,352,0.5385397031600441,28.089455127264415,True,True
1675.pgm,0.16261672973632812,2877,2157,544,1613,0.42113605192186837,23.643100120882643,True,True
2169.pgm,0.14818191528320312,746,559,408,151,0.26449257839285273,29.952940480148538,True,True
2229.pgm,0.504058837890625,0,0,96,-96,0.0,inf,True,True
2316.pgm,0.36568450927734375,410,307,360,-53,0.08636557628390092,32.36696334006889,True,True
2347.pgm,0.46808624267578125,1834,1375,512,863,0.25341074035859473,25.873102280845984,True,True
2485.pgm,0.1536712646484375,1056,792,448,344,0.46209670526222585,28.078797588617817,True,True
2591.pgm,0.0,0,0,96,-96,0.0,inf,True,True
2611.pgm,0.20493316650390625,572,429,360,69,0.17011102946152962,30.365228793767933,True,True
2623.pgm,0.31473541259765625,805,603,448,155,0.5664581112357661,29.385329789945107,True,True
2642.pgm,0.20610427856445312,1622,1216,568,648,0.534460163231071,26.33922629318786,True,True
2760.pgm,0.36815643310546875,1150,862,512,350,0.415366751544329,28.100138883744673,True,True
2794.pgm,0.4178924560546875,0,0,96,-96,0.0,inf,True,True
2844.pgm,0.023677825927734375,0,0,96,-96,0.0,inf,True,True
2890.pgm,0.10150146484375,1686,1264,568,696,0.6252696610448459,26.219655887412316,True,True
2958.pgm,0.3733940124511719,2669,2001,592,1409,0.7258779000080121,24.107921439509216,True,True
3120.pgm,0.4697990417480469,987,740,408,332,0.4990582573950617,28.782104471607877,True,True
3131.pgm,0.46704864501953125,0,0,96,-96,0.0,inf,True,True
3137.pgm,0.8365249633789062,656,492,448,44,0.13466106324548724,30.625140647585386,True,True
3357.pgm,0.44023895263671875,857,642,448,194,0.3453274674408457,29.12034889546789,True,True
3465.pgm,0.20779800415039062,886,664,408,256,0.2102027216481488,28.87061004909406,True,True
3555.pgm,0.4117774963378906,2129,1596,632,964,0.5311230171366156,25.203634384539846,True,True
3636.pgm,0.7741661071777344,882,661,408,253,0.567496268009209,28.94793455140097,True,True
3745.pgm,0.167816162109375,480,360,272,88,0.3789134594666826,31.958234508040782,True,True
3836.pgm,0.3503265380859375,0,0,96,-96,0.0,inf,True,True
3905.pgm,0.2114715576171875,752,564,448,116,0.15215009549319877,29.871761577926744,True,True
3949.pgm,0.22566604614257812,630,472,408,64,0.06198775238167487,30.276048148482822,True,True
4044.pgm,0.25917816162109375,732,549,408,141,0.07635039140962328,29.698336020465813,True,True
4132.pgm,0.3730812072753906,815,611,512,99,0.14849425653479498,29.47248210892723,True,True
4372.pgm,0.420440673828125,402,301,296,5,0.2252667053136462,32.571719197166864,True,True
4436.pgm,0.3412284851074219,545,408,360,48,0.07271458618949835,31.37506554703934,True,True
4482.pgm,0.521392822265625,638,478,360,118,0.07237725629810261,31.04672701582508,True,True
