image,foreground_fraction,maximum_capacity_bits,gross_payload_bits,auxiliary_bits,net_payload_bits,drd,psnr_db,reversible,message_exact
47.pgm,0.6421432495117188,1282,961,928,33,0.674523789152389,27.400215429115477,True,True
114.pgm,0.34214019775390625,1215,911,1000,-89,0.6187562914541628,27.74101332483823,True,True
143.pgm,0.018733978271484375,1246,934,920,14,0.5622995378918091,27.445979233175738,True,True
200.pgm,0.016895294189453125,181,135,416,-281,0.5409086313769886,35.86031009245425,True,True
377.pgm,0.3071632385253906,1519,1139,808,331,0.5894775436159282,26.719057230140827,True,True
602.pgm,0.18507766723632812,863,647,976,-329,0.26012746215318383,29.487179059734988,True,True
642.pgm,0.3686370849609375,419,314,544,-230,0.5941611394197026,32.06352317547704,True,True
662.pgm,0.7387542724609375,1187,890,976,-86,0.4283598713405645,27.672619079535178,True,True
764.pgm,0.01312255859375,582,436,824,-388,0.5964736827504002,30.780958071115432,True,True
898.pgm,0.380279541015625,1112,834,952,-118,0.4892630338502088,27.942578261159934,True,True
955.pgm,0.0041351318359375,20,15,192,-177,0.19733444994712573,46.40388671568018,True,True
1086.pgm,0.7181129455566406,1214,910,904,6,0.6291561723463519,27.319036526893683,True,True
1313.pgm,0.38478851318359375,1105,828,856,-28,0.6639636481160649,27.840626517909296,True,True
1440.pgm,0.15144729614257812,1320,990,952,38,0.6368093301789384,27.221835332183293,True,True
1675.pgm,0.16261672973632812,3129,2346,944,1402,0.4270927618581367,23.54831362560244,True,True
2169.pgm,0.14818191528320312,1102,826,984,-158,0.43395569015120694,27.65327408176318,True,True
2229.pgm,0.504058837890625,444,333,552,-219,0.11362321048138262,31.830114750441126,True,True
2316.pgm,0.36568450927734375,676,507,728,-221,0.13671190957411194,30.171393811701176,True,True
2347.pgm,0.46808624267578125,2094,1570,896,674,0.2828265738653087,25.360153839967808,True,True
2485.pgm,0.1536712646484375,1370,1027,992,35,0.5492301460293825,27.187021960844156,True,True
2591.pgm,0.0,0,0,96,-96,0.0,inf,True,True
2611.pgm,0.20493316650390625,744,558,640,-82,0.19750380818157684,29.561419240527055,True,True
2623.pgm,0.31473541259765625,1052,789,880,-91,0.7033496216433529,28.274753149251623,True,True
2642.pgm,0.20610427856445312,1775,1331,872,459,0.5767030230869832,25.950656927813604,True,True
2760.pgm,0.36815643310546875,1435,1076,1008,68,0.503314172759899,27.10119021816949,True,True
2794.pgm,0.4178924560546875,143,107,288,-181,0.36149236998636686,37.37298684576074,True,True
2844.pgm,0.023677825927734375,441,330,776,-446,0.5448577541153861,32.0902490740903,True,True
2890.pgm,0.10150146484375,1922,1441,992,449,0.696222930867647,25.67893686768595,True,True
2958.pgm,0.3733940124511719,2873,2154,928,1226,0.7489758018181317,23.91190314176905,True,True
3120.pgm,0.4697990417480469,1115,836,656,180,0.6119439242329714,27.85071466372075,True,True
3131.pgm,0.46704864501953125,170,127,400,-273,0.5539987625636544,35.989959864097926,True,True
3137.pgm,0.8365249633789062,838,628,728,-100,0.18237836403415675,29.18852839333258,True,True
3357.pgm,0.44023895263671875,1236,927,1032,-105,0.455391308121558,27.7311765260257,True,True
3465.pgm,0.20779800415039062,1109,831,752,79,0.22777806558970728,28.46831090142974,True,True
3555.pgm,0.4117774963378906,2350,1762,1032,730,0.580566911586488,24.75540328585621,True,True
3636.pgm,0.7741661071777344,1066,799,800,-1,0.6944957677590653,28.004918252395687,True,True
3745.pgm,0.167816162109375,643,482,560,-78,0.5653809871207282,30.11999741517706,True,True
3836.pgm,0.3503265380859375,300,225,328,-103,0.0337196126217441,33.54081932724743,True,True
3905.pgm,0.2114715576171875,1017,762,848,-86,0.20725373931482016,28.410481221144362,True,True
3949.pgm,0.22566604614257812,721,540,528,12,0.060969191302015224,30.25842968691996,True,True
4044.pgm,0.25917816162109375,839,629,560,69,0.08331367887588782,29.370972934493565,True,True
4132.pgm,0.3730812072753906,1017,762,832,-70,0.19707137252576523,28.219428263252013,True,True
4372.pgm,0.420440673828125,773,579,952,-373,0.4622688405547412,29.27178228117389,True,True
4436.pgm,0.3412284851074219,630,472,480,-8,0.08950641834803791,30.365228793767933,True,True
4482.pgm,0.521392822265625,733,549,512,37,0.09060464533820498,29.920286605870864,True,True
4754.pgm,0.22488784790039062,1301,975,776,199,0.21842838867758227,27.23058245461464,True,True
4814.pgm,0.00193023681640625,96,72,344,-272,0.29355194360239184,39.41418667231999,True,True
4888.pgm,0.0,0,0,96,-96,0.0,inf,True,True
5015.pgm,0.036090850830078125,1428,1071,976,95,0.4833163708956413,26.726847267779327,True,True
5060.pgm,0.2789344787597656,2484,1863,984,879,0.4397361492201602,24.282010671640602,True,True
5107.pgm,0.052440643310546875,1938,1453,880,573,0.6070306728718776,25.582019153806677,True,True
5360.pgm,0.032115936279296875,1088,816,920,-104,0.5457637339762873,28.025898702952606,True,True
5428.pgm,0.0,0,0,96,-96,0.0,inf,True,True
5566.pgm,3.814697265625e-06,0,0,96,-96,0.0,inf,True,True
5597.pgm,0.0,0,0,96,-96,0.0,inf,True,True
5821.pgm,0.16112899780273438,1396,1047,944,103,0.6129620805721341,27.23058245461464,True,True
6027.pgm,0.0004119873046875,24,18,184,-166,0.29086943435535906,44.18539921951662,True,True
6055.pgm,0.1078033447265625,854,640,880,-240,0.5705073653122115,29.106840502558306,True,True
6206.pgm,0.4667091369628906,909,681,824,-143,0.668392176537625,28.934951149148166,True,True
6260.pgm,0.0048370361328125,243,182,512,-330,0.45647545482739627,35.04726069567945,True,True
6300.pgm,0.11592864990234375,1703,1277,816,461,0.7531342310757337,26.05626565308806,True,True
6310.pgm,0.09885787963867188,1143,857,856,1,0.21685299956526918,27.557820902700875,True,True
6464.pgm,0.593475341796875,2820,2115,1048,1067,0.49785153847941177,23.977644337581037,True,True
6512.pgm,0.14977645874023438,1376,1032,960,72,0.41006956671684225,26.750301572232317,True,True
6770.pgm,0.05440521240234375,262,196,448,-252,0.4720935628110939,33.851161664647115,True,True
6866.pgm,0.16755294799804688,638,478,608,-130,0.13272386058316274,30.137062053317237,True,True
7020.pgm,0.18119049072265625,1961,1470,816,654,0.669964653944767,25.5107243409261,True,True
7043.pgm,0.16617584228515625,1008,756,736,20,0.6289818720735939,28.252538549312042,True,True
7110.pgm,0.12110137939453125,348,261,480,-219,0.4914484921082898,32.88206153456655,True,True
7419.pgm,0.16480255126953125,2295,1721,920,801,0.24348061717052763,24.855591000284633,True,True
7431.pgm,0.2900657653808594,2515,1886,1024,862,0.4453208260119894,24.408163166628135,True,True
7476.pgm,0.29195404052734375,1390,1042,824,218,0.5100145626302761,26.91812712925089,True,True
7482.pgm,0.30963897705078125,910,682,664,18,0.500425600510553,28.744718776013862,True,True
7646.pgm,0.1043548583984375,1107,830,624,206,0.1366463141263509,28.26363164555795,True,True
7690.pgm,0.22375106811523438,1616,1212,984,228,0.33269789746987355,26.3822260981151,True,True
7759.pgm,0.24929428100585938,1298,973,1008,-35,0.4468741357754504,26.975541777979224,True,True
7849.pgm,0.30190277099609375,2685,2013,992,1021,0.5611877859113041,24.2159067345628,True,True
8101.pgm,0.06956863403320312,323,242,616,-374,0.607057747471675,33.21629908943605,True,True
8105.pgm,0.30126190185546875,893,669,616,53,0.5362477050767763,28.88340223748579,True,True
8159.pgm,0.033771514892578125,961,720,896,-176,0.7530793131686171,28.52692103278144,True,True
8253.pgm,0.10301589965820312,818,613,608,5,0.5993561822870936,29.161128019672287,True,True
8264.pgm,0.0824127197265625,4486,3364,1032,2332,0.76962409613632,21.9556347205827,True,True
8306.pgm,0.23462295532226562,778,583,672,-89,0.13517154212980625,29.682908136323004,True,True
8382.pgm,0.0,0,0,96,-96,0.0,inf,True,True
8451.pgm,0.39928436279296875,1802,1351,1032,319,0.6723190938855861,25.86031009245425,True,True
8487.pgm,0.6619529724121094,1078,808,784,24,0.18205587549404412,28.376149462760424,True,True
8572.pgm,0.33172607421875,1032,774,984,-210,0.255681959884828,28.20844736026149,True,True
8760.pgm,0.12469482421875,756,567,648,-81,0.11951951543334388,29.887876419492535,True,True
8785.pgm,0.058940887451171875,597,447,600,-153,0.7839253948862388,30.419629648951492,True,True
