image,variant,available,active_tables,gross_capacity_bits,payload_bits,auxiliary_bits,net_payload_bits,posthoc_auxiliary_bits,posthoc_net_payload_bits,drd,changed_pixels,reversible,message_exact,seed
circuit-2,A0_all_feasible_gross_reported,True,81,2138,1603,0,1603,672,931,0.5932823007155399,802,True,True,20260608
circuit-2,A1_all_feasible_wire_charged,True,81,2138,1603,672,931,672,931,0.5832413726156146,788,True,True,20260608
circuit-2,A2_serialized_net_activation,True,67,2102,1576,592,984,592,984,0.5911187936282141,796,True,True,20260608
formula-5,A0_all_feasible_gross_reported,True,120,5030,3772,0,3772,880,2892,0.9164876197215531,1875,True,True,20260609
formula-5,A1_all_feasible_wire_charged,True,120,5030,3772,880,2892,880,2892,0.9318947250444573,1910,True,True,20260609
formula-5,A2_serialized_net_activation,True,81,4923,3692,672,3020,672,3020,0.9207000688931669,1872,True,True,20260609
graph1-5,A0_all_feasible_gross_reported,True,110,2743,2057,0,2057,832,1225,0.6763771051674062,1007,True,True,20260610
graph1-5,A1_all_feasible_wire_charged,True,110,2743,2057,832,1225,832,1225,0.6897217084924069,1034,True,True,20260610
graph1-5,A2_serialized_net_activation,True,74,2638,1978,632,1346,632,1346,0.6530111834363171,964,True,True,20260610
handwr2-8,A0_all_feasible_gross_reported,True,94,3194,2395,0,2395,744,1651,0.7583095153288316,1188,True,True,20260611
handwr2-8,A1_all_feasible_wire_charged,True,94,3194,2395,744,1651,744,1651,0.7500205840274656,1181,True,True,20260611
handwr2-8,A2_serialized_net_activation,True,74,3135,2351,632,1719,632,1719,0.721268620830205,1125,True,True,20260611
large-8,A0_all_feasible_gross_reported,True,70,1598,1198,0,1198,616,582,0.6214101796941442,584,True,True,20260612
large-8,A1_all_feasible_wire_charged,True,70,1598,1198,616,582,616,582,0.6727731438979535,637,True,True,20260612
large-8,A2_serialized_net_activation,True,50,1518,1138,488,650,488,650,0.5829279070497471,546,True,True,20260612
symbol-6,A0_all_feasible_gross_reported,True,115,3245,2433,0,2433,856,1577,0.9080291837433719,1233,True,True,20260613
symbol-6,A1_all_feasible_wire_charged,True,115,3245,2433,856,1577,856,1577,0.8970889285539593,1219,True,True,20260613
symbol-6,A2_serialized_net_activation,True,81,3156,2367,672,1695,672,1695,0.9206251829592303,1247,True,True,20260613
table1-3,A0_all_feasible_gross_reported,True,125,5695,4271,0,4271,904,3367,0.8037620494785523,2126,True,True,20260614
table1-3,A1_all_feasible_wire_charged,True,125,5695,4271,904,3367,904,3367,0.8105388411623003,2147,True,True,20260614
table1-3,A2_serialized_net_activation,True,78,5548,4161,656,3505,656,3505,0.8255043987630208,2168,True,True,20260614
french-4,A0_all_feasible_gross_reported,True,139,7809,5856,0,5856,968,4888,0.8925078497471994,2950,True,True,20260615
french-4,A1_all_feasible_wire_charged,True,139,7809,5856,968,4888,968,4888,0.8905116178091909,2948,True,True,20260615
french-4,A2_serialized_net_activation,True,84,7639,5729,688,5041,688,5041,0.8708022360296278,2865,True,True,20260615

