image,ranker,available,common_payload_bits,gross_capacity_bits,payload_bits,auxiliary_bits,net_payload_bits,posthoc_auxiliary_bits,posthoc_net_payload_bits,drd,changed_pixels,reversible,message_exact
circuit-2,hamming_index,True,1603,2138,1603,672,931,672,931,0.6402040867619667,796,True,True
circuit-2,direct_drd_cost,True,1603,2138,1603,672,931,672,931,0.5866109438547435,796,True,True
circuit-2,transition_preserving,True,1603,2138,1603,672,931,672,931,0.6472964286049935,796,True,True
circuit-2,connectivity_aware,True,1603,2138,1603,672,931,672,931,0.6356440791705116,796,True,True
circuit-2,cnn,True,1603,2138,1603,672,931,672,931,0.5885045543059255,796,True,True
formula-5,hamming_index,True,3770,5030,3770,880,2890,880,2890,0.9778044669075765,1933,True,True
formula-5,direct_drd_cost,True,3770,5028,3770,872,2898,872,2898,0.9416231123179643,1933,True,True
formula-5,transition_preserving,True,3770,5027,3770,872,2898,872,2898,0.9839512507644401,1933,True,True
formula-5,connectivity_aware,True,3770,5030,3770,880,2890,880,2890,0.9789317638692526,1933,True,True
formula-5,cnn,True,3770,5030,3770,880,2890,880,2890,0.9435199533483251,1933,True,True
graph1-5,hamming_index,True,2057,2743,2057,832,1225,832,1225,0.7358053495627863,1045,True,True
graph1-5,direct_drd_cost,True,2057,2743,2057,832,1225,832,1225,0.696671073160201,1045,True,True
graph1-5,transition_preserving,True,2057,2743,2057,832,1225,832,1225,0.7468129794641811,1045,True,True
graph1-5,connectivity_aware,True,2057,2743,2057,832,1225,832,1225,0.742305253177188,1045,True,True
graph1-5,cnn,True,2057,2743,2057,832,1225,832,1225,0.6992369076644173,1045,True,True
handwr2-8,hamming_index,True,2387,3183,2387,744,1643,744,1643,0.8067672579565646,1170,True,True
handwr2-8,direct_drd_cost,True,2387,3194,2387,744,1643,744,1643,0.7403161036432276,1170,True,True
handwr2-8,transition_preserving,True,2387,3194,2387,744,1643,744,1643,0.8093407159435748,1170,True,True
handwr2-8,connectivity_aware,True,2387,3194,2387,744,1643,744,1643,0.8080272025465528,1170,True,True
handwr2-8,cnn,True,2387,3194,2387,744,1643,744,1643,0.7466414154436022,1170,True,True
large-8,hamming_index,True,1198,1598,1198,616,582,616,582,0.7162826707039825,626,True,True
large-8,direct_drd_cost,True,1198,1598,1198,616,582,616,582,0.6622461316339455,626,True,True
large-8,transition_preserving,True,1198,1598,1198,616,582,616,582,0.7235043590446182,626,True,True
large-8,connectivity_aware,True,1198,1598,1198,616,582,616,582,0.7003257830363038,626,True,True
large-8,cnn,True,1198,1598,1198,616,582,616,582,0.6627412891908417,626,True,True
symbol-6,hamming_index,True,2432,3243,2432,848,1584,848,1584,0.9545983938778446,1256,True,True
symbol-6,direct_drd_cost,True,2432,3245,2432,856,1576,856,1576,0.9203690862984858,1256,True,True
symbol-6,transition_preserving,True,2432,3243,2432,848,1584,848,1584,0.9643826285368573,1256,True,True
symbol-6,connectivity_aware,True,2432,3245,2432,856,1576,856,1576,0.9553938220354705,1256,True,True
symbol-6,cnn,True,2432,3245,2432,856,1576,856,1576,0.9258334477349677,1256,True,True
table1-3,hamming_index,True,4263,5730,4263,880,3383,880,3383,0.8188149738695689,2091,True,True
table1-3,direct_drd_cost,True,4263,5684,4263,896,3367,896,3367,0.7865309272468995,2091,True,True
table1-3,transition_preserving,True,4263,5733,4263,888,3375,888,3375,0.8275111033753773,2091,True,True
table1-3,connectivity_aware,True,4263,5731,4263,880,3383,880,3383,0.8172240440203747,2091,True,True
table1-3,cnn,True,4263,5695,4263,904,3359,904,3359,0.7857821322804275,2091,True,True
french-4,hamming_index,True,5856,7809,5856,968,4888,968,4888,0.9220261227730047,2938,True,True
french-4,direct_drd_cost,True,5856,7809,5856,968,4888,968,4888,0.8862351173974943,2938,True,True
french-4,transition_preserving,True,5856,7824,5856,976,4880,976,4880,0.9316362908198278,2938,True,True
french-4,connectivity_aware,True,5856,7810,5856,968,4888,968,4888,0.9224544291713295,2938,True,True
french-4,cnn,True,5856,7809,5856,968,4888,968,4888,0.8892295738259741,2938,True,True
