image,method,available,payload_bits,auxiliary_bits,net_payload_bits,changed_pixels,drd,psnr_db,reversible,message_exact,parameter,error
7.pgm,PPOCP-conservative,True,256,3312,-3056,115,0.052491305139679305,33.5784208159805,True,True,,
7.pgm,Huynh-Nguyen-T5,True,256,1128,-872,148,0.11313934716698276,32.482782065567044,True,True,,
7.pgm,Dong-adaptive-conservative,True,256,384,-128,175,0.13359495727344148,31.755018732653674,True,True,l=2,
46.pgm,PPOCP-conservative,True,256,3248,-2992,127,0.05495529808651292,33.14736200995704,True,True,,
46.pgm,Huynh-Nguyen-T5,True,256,1880,-1624,127,0.11193307852138902,33.14736200995704,True,True,,
46.pgm,Dong-adaptive-conservative,True,256,288,-32,145,0.16869191868216793,32.571719197166864,True,True,l=1,
353.pgm,PPOCP-conservative,True,256,1672,-1416,131,1.3753917059422776,33.01268626295897,True,True,,
353.pgm,Huynh-Nguyen-T5,False,256,0,0,0,,,False,False,,capacity below target
353.pgm,Dong-adaptive-conservative,False,256,0,0,0,,,False,False,,l=1: Insufficient Dong excluding-mode capacity; l=2: Insufficient Dong excluding-mode capacity; l=3: Insufficient Dong excluding-mode capacity; l=4: Insufficient Dong excluding-mode capacity; l=5: Insufficient Dong excluding-mode capacity; l=6: Insufficient Dong excluding-mode capacity; l=7: Insufficient Dong excluding-mode capacity; l=8: Insufficient Dong excluding-mode capacity; l=9: Insufficient Dong excluding-mode capacity; l=10: Insufficient Dong excluding-mode capacity
410.pgm,PPOCP-conservative,True,256,1816,-1560,141,0.038001985809237505,32.69320809296281,True,True,,
410.pgm,Huynh-Nguyen-T5,True,256,1880,-1624,124,0.07298498286626072,33.251182367894266,True,True,,
410.pgm,Dong-adaptive-conservative,True,256,288,-32,133,0.09264544348218876,32.94688280984576,True,True,l=6,
488.pgm,PPOCP-conservative,True,256,3296,-3040,135,0.051004168325139994,32.88206153456655,True,True,,
488.pgm,Huynh-Nguyen-T5,True,256,1096,-840,156,0.10427378192302049,32.254153235972,True,True,,
488.pgm,Dong-adaptive-conservative,True,256,672,-416,2496,1.4247850611951518,20.21295340941275,True,True,l=1,
581.pgm,PPOCP-conservative,True,256,2888,-2632,127,0.3841346913117384,33.14736200995704,True,True,,
581.pgm,Huynh-Nguyen-T5,False,256,0,0,0,,,False,False,,capacity below target
581.pgm,Dong-adaptive-conservative,True,256,288,-32,136,0.7450434737843017,32.850010135814436,True,True,l=4,
596.pgm,PPOCP-conservative,True,256,2928,-2672,115,0.18711501149303125,33.5784208159805,True,True,,
596.pgm,Huynh-Nguyen-T5,True,256,3384,-3128,119,0.3015773522068837,33.429929605591305,True,True,,
596.pgm,Dong-adaptive-conservative,True,256,296,-40,143,0.3742515137813257,32.632038844865995,True,True,l=9,
636.pgm,PPOCP-conservative,True,256,3224,-2968,148,0.4275786350933239,32.482782065567044,True,True,,
636.pgm,Huynh-Nguyen-T5,False,256,0,0,0,,,False,False,,capacity below target
636.pgm,Dong-adaptive-conservative,True,256,280,-24,119,0.5851180498740773,33.429929605591305,True,True,l=6,
655.pgm,PPOCP-conservative,True,256,3408,-3152,123,0.08559854875275202,33.286348105122634,True,True,,
655.pgm,Huynh-Nguyen-T5,True,256,1864,-1608,133,0.15024752139661277,32.94688280984576,True,True,,
655.pgm,Dong-adaptive-conservative,True,256,368,-112,232,0.3250597650468476,30.530519370607617,True,True,l=1,
812.pgm,PPOCP-conservative,True,256,3328,-3072,131,0.04917700056280849,33.01268626295897,True,True,,
812.pgm,Huynh-Nguyen-T5,True,256,1912,-1656,129,0.0647937471407711,33.079502116524125,True,True,,
812.pgm,Dong-adaptive-conservative,True,256,448,-192,147409,119.21230550433708,2.500159219359957,True,True,l=3,
889.pgm,PPOCP-conservative,True,256,2624,-2368,135,0.055323570210946735,32.88206153456655,True,True,,
889.pgm,Huynh-Nguyen-T5,True,256,1848,-1592,128,0.09996154258101658,33.11329952303793,True,True,,
889.pgm,Dong-adaptive-conservative,True,256,320,-64,132,0.10572304344448358,32.979659907458114,True,True,l=9,
1300.pgm,PPOCP-conservative,True,256,2328,-2072,128,0.054129544557848824,33.11329952303793,True,True,,
1300.pgm,Huynh-Nguyen-T5,True,256,1952,-1696,138,0.14069009635096916,32.78660835550425,True,True,,
1300.pgm,Dong-adaptive-conservative,True,256,512,-256,354,0.3553258685719477,28.695366599258737,True,True,l=5,
1404.pgm,PPOCP-conservative,True,256,3232,-2976,132,0.0727451187789413,32.979659907458114,True,True,,
1404.pgm,Huynh-Nguyen-T5,True,256,1832,-1576,131,0.11654100996619235,33.01268626295897,True,True,,
1404.pgm,Dong-adaptive-conservative,True,256,296,-40,152,0.17989927546332998,32.36696334006889,True,True,l=7,
1473.pgm,PPOCP-conservative,True,256,2160,-1904,137,0.6701837839460592,32.818193547952546,True,True,,
1473.pgm,Huynh-Nguyen-T5,False,256,0,0,0,,,False,False,,capacity below target
1473.pgm,Dong-adaptive-conservative,True,256,304,-48,128,0.9566756773275646,33.11329952303793,True,True,l=3,
1493.pgm,PPOCP-conservative,True,256,3192,-2936,140,0.11179622624123178,32.72411886273424,True,True,,
1493.pgm,Huynh-Nguyen-T5,True,256,1864,-1608,129,0.13113902786063605,33.079502116524125,True,True,,
1493.pgm,Dong-adaptive-conservative,True,256,384,-128,201811,347.00851658177527,1.135950875576905,True,True,l=6,
1583.pgm,PPOCP-conservative,True,256,3256,-3000,137,0.18947593702192086,32.818193547952546,True,True,,
1583.pgm,Huynh-Nguyen-T5,True,256,3376,-3120,123,0.23032365094951276,33.286348105122634,True,True,,
1583.pgm,Dong-adaptive-conservative,True,256,312,-56,138,0.3590669292407639,32.78660835550425,True,True,l=7,
1586.pgm,PPOCP-conservative,True,256,256,0,118,49.96517095378483,33.46657914645536,True,True,,
1586.pgm,Huynh-Nguyen-T5,False,256,0,0,0,,,False,False,,capacity below target
1586.pgm,Dong-adaptive-conservative,False,256,0,0,0,,,False,False,,l=1: Insufficient Dong excluding-mode capacity; l=2: Insufficient Dong excluding-mode capacity; l=3: Insufficient Dong excluding-mode capacity; l=4: Insufficient Dong excluding-mode capacity; l=5: Insufficient Dong excluding-mode capacity; l=6: Insufficient Dong excluding-mode capacity; l=7: Insufficient Dong excluding-mode capacity; l=8: Insufficient Dong excluding-mode capacity; l=9: Insufficient Dong excluding-mode capacity; l=10: Insufficient Dong excluding-mode capacity
1592.pgm,PPOCP-conservative,True,256,3304,-3048,129,0.09593255322268879,33.079502116524125,True,True,,
1592.pgm,Huynh-Nguyen-T5,True,256,1864,-1608,120,0.12201550979548473,33.39358675904037,True,True,,
1592.pgm,Dong-adaptive-conservative,True,256,288,-32,129,0.16214065441638406,33.079502116524125,True,True,l=1,
