image,method,available,payload_bits,auxiliary_bits,net_payload_bits,changed_pixels,drd,psnr_db,reversible,message_exact,parameter,runtime_seconds,error
7.pgm,ABM-enumerative,True,512,184,328,263,0.20285963881583086,29.985841734619036,True,True,,2.103726999950595,
7.pgm,PPOCP-conservative,True,512,6536,-6024,260,0.11502861142843537,30.035665739808437,True,True,,0.08571430004667491,
7.pgm,Huynh-Nguyen-T5,True,512,1120,-608,285,0.21542389578737733,29.636950619431516,True,True,,1.597184699960053,
7.pgm,Dong-adaptive-conservative,True,512,480,32,418,0.32744610430426047,27.973636401766264,True,True,l=2,10.63176600006409,
46.pgm,ABM-enumerative,True,512,160,352,249,0.2511070964639122,30.22340574855925,True,True,,2.105576000059955,
46.pgm,PPOCP-conservative,True,512,5472,-4960,259,0.182066957567944,30.0524015787041,True,True,,0.07503619999624789,
46.pgm,Huynh-Nguyen-T5,True,512,1880,-1368,250,0.223158404160735,30.205999132796236,True,True,,1.3372704000212252,
46.pgm,Dong-adaptive-conservative,True,512,320,192,259,0.3363124319705724,30.0524015787041,True,True,l=7,13.002305299974978,
353.pgm,ABM-enumerative,False,512,0,0,0,,,False,False,,0.920777199906297,capacity below target
353.pgm,PPOCP-conservative,True,512,264,248,249,3.461679220773446,30.22340574855925,True,True,,0.07331989996600896,
353.pgm,Huynh-Nguyen-T5,False,512,0,0,0,,,False,False,,0.5489756999304518,capacity below target
353.pgm,Dong-adaptive-conservative,False,512,0,0,0,,,False,False,,29.351825200021267,l=1: Insufficient Dong excluding-mode capacity; l=2: Insufficient Dong excluding-mode capacity; l=3: Insufficient Dong excluding-mode capacity; l=4: Insufficient Dong excluding-mode capacity; l=5: Insufficient Dong excluding-mode capacity; l=6: Insufficient Dong excluding-mode capacity; l=7: Insufficient Dong excluding-mode capacity; l=8: Insufficient Dong excluding-mode capacity; l=9: Insufficient Dong excluding-mode capacity; l=10: Insufficient Dong excluding-mode capacity
410.pgm,ABM-enumerative,True,512,144,368,250,0.17688945734582365,30.205999132796236,True,True,,2.1197394999908283,
410.pgm,PPOCP-conservative,True,512,4528,-4016,269,0.08148002157507449,29.887876419492535,True,True,,0.07095410011243075,
